timestamp;open;high;low;close;volume
1.74239E+12;0.713;0.714;0.713;0.714;1.980000019
1.74239E+12;0.713;0.716;0.713;0.716;1.210000038
1.74239E+12;0.716;0.718;0.716;0.716;1.100000024
1.74239E+12;0.715;0.715;0.712;0.713;1.539999962
1.74239E+12;0.713;0.715;0.713;0.715;1.100000024
1.74239E+12;0.714;0.718;0.714;0.716;2.75
1.74239E+12;0.717;0.718;0.717;0.717;0.99000001
1.74239E+12;0.718;0.719;0.717;0.717;1.75999999
1.74239E+12;0.717;0.719;0.717;0.717;1.100000024
1.74239E+12;0.717;0.719;0.716;0.716;2.089999914
1.74239E+12;0.716;0.717;0.715;0.717;1.75999999
1.74239E+12;0.717;0.72;0.717;0.719;2.309999943
1.74239E+12;0.72;0.72;0.718;0.719;2.640000105
1.74239E+12;0.72;0.724;0.719;0.723;1.539999962
1.74239E+12;0.723;0.725;0.723;0.724;1.210000038
1.74239E+12;0.725;0.725;0.723;0.724;1.539999962
1.74239E+12;0.723;0.723;0.72;0.721;2.200000048
1.74239E+12;0.72;0.722;0.72;0.722;0.550000012
1.74239E+12;0.722;0.727;0.722;0.726;1.100000024
1.74239E+12;0.725;0.727;0.721;0.724;1.610700011
1.74239E+12;0.724;0.726;0.724;0.725;0.660000026
1.74239E+12;0.725;0.726;0.725;0.726;1.649999976
1.74239E+12;0.726;0.727;0.726;0.727;1.100000024
1.74239E+12;0.726;0.728;0.726;0.727;1.870000005
1.74239E+12;0.727;0.727;0.725;0.725;0.769999981
1.74239E+12;0.724;0.725;0.721;0.723;1.649999976
1.74239E+12;0.723;0.725;0.723;0.725;0.330000013
1.74239E+12;0.725;0.726;0.725;0.725;0.330000013
1.74239E+12;0.725;0.726;0.724;0.724;1.429999948
1.74239E+12;0.724;0.726;0.724;0.726;1.210000038
1.74239E+12;0.725;0.726;0.725;0.725;0.330000013
1.74239E+12;0.724;0.724;0.724;0.724;0.219999999
1.74239E+12;0.723;0.724;0.723;0.723;1.980000019
1.74239E+12;0.724;0.727;0.724;0.726;1.210000038
1.74239E+12;0.726;0.728;0.726;0.727;2.089999914
1.74239E+12;0.727;0.728;0.726;0.728;1.75999999
1.74239E+12;0.729;0.73;0.728;0.729;0.99000001
1.74239E+12;0.73;0.731;0.73;0.731;0.219999999
1.74239E+12;0.732;0.732;0.73;0.732;1.100000024
1.74239E+12;0.731;0.731;0.729;0.729;0.99000001
1.74239E+12;0.729;0.731;0.729;0.73;0.660000026
1.74239E+12;0.729;0.729;0.728;0.729;0.99000001
1.74239E+12;0.729;0.733;0.729;0.731;1.75999999
1.74239E+12;0.73;0.732;0.73;0.73;1.210000038
1.74239E+12;0.729;0.729;0.728;0.729;0.660000026
1.74239E+12;0.728;0.729;0.728;0.728;0.550000012
1.74239E+12;0.728;0.729;0.727;0.727;0.660000026
1.74239E+12;0.726;0.729;0.726;0.729;0.879999995
1.74239E+12;0.729;0.731;0.725;0.728;1.791399956
1.74239E+12;0.728;0.731;0.728;0.731;1.980000019
1.74239E+12;0.73;0.73;0.729;0.729;0.769999981
1.74239E+12;0.73;0.73;0.729;0.73;1.75999999
1.74239E+12;0.73;0.731;0.73;0.73;0.330000013
1.74239E+12;0.731;0.732;0.73;0.731;1.320000052
1.74239E+12;0.731;0.731;0.73;0.731;0.660000026
1.74239E+12;0.73;0.73;0.729;0.73;0.439999998
1.74239E+12;0.729;0.729;0.728;0.728;0.219999999
1.74239E+12;0.728;0.729;0.728;0.728;1.320000052
1.74239E+12;0.727;0.728;0.727;0.728;0.769999981
1.74239E+12;0.727;0.728;0.727;0.728;0.769999981
1.74239E+12;0.727;0.727;0.724;0.724;0.879999995
1.74239E+12;0.724;0.725;0.724;0.725;0.660000026
1.74239E+12;0.725;0.726;0.723;0.723;0.879999995
1.74239E+12;0.723;0.724;0.72;0.72;1.75999999
1.74239E+12;0.72;0.722;0.72;0.72;1.429999948
1.74239E+12;0.72;0.721;0.72;0.721;0.879999995
1.74239E+12;0.721;0.722;0.721;0.721;1.429999948
1.74239E+12;0.721;0.722;0.719;0.721;1.320000052
1.74239E+12;0.72;0.722;0.72;0.721;1.320000052
1.74239E+12;0.72;0.721;0.72;0.721;1.320000052
1.7424E+12;0.722;0.723;0.722;0.723;0.550000012
1.7424E+12;0.723;0.725;0.723;0.724;1.320000052
1.7424E+12;0.724;0.725;0.724;0.725;0.439999998
1.7424E+12;0.725;0.726;0.725;0.725;0.769999981
1.7424E+12;0.724;0.724;0.723;0.723;0.550000012
1.7424E+12;0.723;0.724;0.723;0.724;0.879999995
1.7424E+12;0.724;0.725;0.724;0.725;1.210000038
1.7424E+12;0.724;0.725;0.724;0.725;0.660000026
1.7424E+12;0.724;0.725;0.723;0.723;1.649999976
1.7424E+12;0.722;0.723;0.722;0.723;0.439999998
1.7424E+12;0.722;0.724;0.722;0.724;1.100000024
1.7424E+12;0.724;0.725;0.724;0.724;0.769999981
1.7424E+12;0.724;0.726;0.724;0.726;0.439999998
1.7424E+12;0.727;0.728;0.726;0.728;1.429999948
1.7424E+12;0.727;0.727;0.727;0.727;0.219999999
1.7424E+12;0.727;0.728;0.727;0.728;0.769999981
1.7424E+12;0.727;0.727;0.726;0.726;0.219999999
1.7424E+12;0.727;0.728;0.727;0.728;0.219999999
1.7424E+12;0.727;0.727;0.727;0.727;0.109999999
1.7424E+12;0.727;0.728;0.727;0.728;0.660000026
1.7424E+12;0.729;0.729;0.728;0.729;0.769999981
1.7424E+12;0.728;0.728;0.728;0.728;1.429999948
1.7424E+12;0.727;0.728;0.727;0.728;0.99000001
1.7424E+12;0.729;0.729;0.727;0.727;2.200000048
1.7424E+12;0.727;0.728;0.727;0.727;0.550000012
